MPS Current Set,Current B,Target B,Target MPS Set
198148.765432099,-0.761575,0.509015,-134298.197530864
198148.765432099,-0.761575,0.581025,-153187.456790123
198148.765432099,-0.761575,0.65265,-172002.666666667
198148.765432099,-0.761575,0.723705,-190743.827160494
198148.765432099,-0.761575,0.79428,-209410.938271605
198148.765432099,-0.761575,0.86435,-228004
198148.765432099,-0.761575,0.933795,-246523.012345679
198148.765432099,-0.761575,1.002505,-264967.975308642
198148.765432099,-0.761575,1.07062,-283338.888888889
178000.666666667,-0.686175,-0.610385,157926.617283951
178000.666666667,-0.686175,-0.53453,137926.617283951
178000.666666667,-0.686175,-0.4587,118000.666666667
178000.666666667,-0.686175,-0.382985,98148.7654320988
178000.666666667,-0.686175,-0.30728,78370.9135802469
178000.666666667,-0.686175,-0.231755,58667.1111111112
178000.666666667,-0.686175,-0.156265,39037.3580246913
178000.666666667,-0.686175,-0.08097,19481.6543209877
178000.666666667,-0.686175,-0.006315,0
178000.666666667,-0.686175,0.068365,-19407.6049382717
178000.666666667,-0.686175,0.14271,-38741.1604938272
178000.666666667,-0.686175,0.21683,-58000.6666666667
178000.666666667,-0.686175,0.290395,-77186.1234567901
178000.666666667,-0.686175,0.36376,-96297.5308641976
178000.666666667,-0.686175,0.436695,-115334.888888889
178000.666666667,-0.686175,0.509015,-134298.197530864
178000.666666667,-0.686175,0.581025,-153187.456790123
178000.666666667,-0.686175,0.65265,-172002.666666667
178000.666666667,-0.686175,0.723705,-190743.827160494
178000.666666667,-0.686175,0.79428,-209410.938271605
178000.666666667,-0.686175,0.86435,-228004
178000.666666667,-0.686175,0.933795,-246523.012345679
178000.666666667,-0.686175,1.002505,-264967.975308642
178000.666666667,-0.686175,1.07062,-283338.888888889
157926.617283951,-0.610385,-0.53453,137926.617283951
157926.617283951,-0.610385,-0.4587,118000.666666667
157926.617283951,-0.610385,-0.382985,98148.7654320988
157926.617283951,-0.610385,-0.30728,78370.9135802469
157926.617283951,-0.610385,-0.231755,58667.1111111112
157926.617283951,-0.610385,-0.156265,39037.3580246913
157926.617283951,-0.610385,-0.08097,19481.6543209877
157926.617283951,-0.610385,-0.006315,0
157926.617283951,-0.610385,0.068365,-19407.6049382717
157926.617283951,-0.610385,0.14271,-38741.1604938272
157926.617283951,-0.610385,0.21683,-58000.6666666667
157926.617283951,-0.610385,0.290395,-77186.1234567901
157926.617283951,-0.610385,0.36376,-96297.5308641976
157926.617283951,-0.610385,0.436695,-115334.888888889
157926.617283951,-0.610385,0.509015,-134298.197530864
157926.617283951,-0.610385,0.581025,-153187.456790123
157926.617283951,-0.610385,0.65265,-172002.666666667
157926.617283951,-0.610385,0.723705,-190743.827160494
157926.617283951,-0.610385,0.79428,-209410.938271605
